City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Decatur,39.8403,-88.9548,87.55,69,90,3.44,overcast clouds
337,Indianola,41.3581,-93.5574,86.49,59,3,11.92,clear sky
338,Lere,10.387,8.5726,70.12,95,98,6.33,light rain
339,Huejuquilla El Alto,22.6,-103.8667,76.57,46,99,1.59,overcast clouds
340,Maragogi,-9.0122,-35.2225,77.11,74,0,11.63,clear sky
341,Lac Du Bonnet,50.2536,-96.0612,86.99,44,99,9.48,overcast clouds
342,Taree,-31.9,152.4667,49.68,84,100,4.72,overcast clouds
343,Matay,28.419,30.7792,90.99,25,1,9.53,clear sky
344,Cuicatlan,17.8,-96.9667,86.79,46,48,6.82,scattered clouds
345,Victoria,22.2855,114.1577,84.33,87,100,1.01,overcast clouds
346,Moree,-29.4667,149.85,51.82,71,90,12.66,overcast clouds
347,Dali,25.7,100.1833,62.76,84,100,1.97,overcast clouds
348,Bathsheba,13.2167,-59.5167,86.61,70,40,18.41,scattered clouds
349,Gummidipundi,13.4,80.15,80.6,60,100,15.08,overcast clouds
350,Avera,33.194,-82.5271,90.72,56,78,1.77,broken clouds
351,Acapulco,16.8634,-99.8901,87.62,62,40,6.91,scattered clouds
352,Reconquista,-29.15,-59.65,76.75,31,20,8.61,few clouds
353,Shingu,33.7333,135.9833,75.9,88,75,5.32,broken clouds
354,Kruisfontein,-34.0033,24.7314,43.88,71,100,14.34,light rain
355,Severodvinsk,64.5635,39.8302,51.91,87,74,8.28,broken clouds
356,Comodoro Rivadavia,-45.8667,-67.5,66.06,32,75,19.57,broken clouds
357,Axim,4.8699,-2.2405,76.24,82,41,9.06,scattered clouds
358,Nuuk,64.1835,-51.7216,43.88,93,100,27.0,light rain
359,Forbes,-33.3833,148.0167,44.56,93,100,14.76,overcast clouds
360,Ayagoz,47.9714,80.4392,65.32,68,38,5.84,scattered clouds
361,The Valley,18.217,-63.0578,87.66,79,20,14.97,few clouds
362,Zhangye,38.9342,100.4517,81.59,31,14,6.8,few clouds
363,Hamilton,39.1834,-84.5333,82.99,52,1,1.01,clear sky
364,Poya,-21.35,165.15,63.81,87,0,2.84,clear sky
365,Wiang Sa,8.6359,99.3666,80.67,91,100,2.39,overcast clouds
366,Namibe,-15.1961,12.1522,66.78,76,4,2.62,clear sky
367,Broome,42.2506,-75.833,75.06,57,20,4.0,few clouds
368,Bredy,52.4153,60.3411,77.67,46,23,12.28,few clouds
369,Tual,-5.6667,132.75,79.75,81,94,15.5,overcast clouds
370,Imbituba,-28.24,-48.6703,69.69,68,0,9.64,clear sky
371,Westport,41.1415,-73.3579,83.98,51,75,1.01,broken clouds
372,Tomatlan,19.9333,-105.25,91.67,53,100,6.49,overcast clouds
373,Kiunga,-6.1219,141.2906,72.81,99,99,3.09,overcast clouds
374,Newberry,34.2746,-81.6187,92.86,62,0,2.86,clear sky
