City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Eirunepe,BR,2021-07-21 13:01:41,-6.6603,-69.8736,72.91,51,7,3.4
173,Bethel,US,2021-07-21 13:01:42,41.3712,-73.414,75.11,83,13,1.01
174,Mabaruma,GY,2021-07-21 13:01:42,8.2,-59.7833,76.75,97,100,3.38
175,Urubicha,BO,2021-07-21 13:01:43,-15.3833,-62.95,72.05,25,2,2.84
176,Tasiilaq,GL,2021-07-21 13:01:43,65.6145,-37.6368,44.76,91,94,1.48
177,Matara,LK,2021-07-21 13:01:44,5.9485,80.5353,80.89,80,100,13.51
178,Dzaoudzi,YT,2021-07-21 13:01:44,-12.7887,45.2699,82.29,65,20,10.36
179,Suntar,RU,2021-07-21 13:01:45,62.1444,117.6319,65.41,76,36,5.61
180,Ancud,CL,2021-07-21 12:51:50,-41.8697,-73.8203,49.53,95,100,6.76
181,Port Blair,IN,2021-07-21 13:01:46,11.6667,92.75,82.11,83,100,23.04
182,Isangel,VU,2021-07-21 13:01:47,-19.55,169.2667,74.82,91,39,3.58
183,Sakakah,SA,2021-07-21 13:01:47,29.9697,40.2064,110.89,10,0,9.26
184,Oranjemund,NA,2021-07-21 13:01:48,-28.55,16.4333,58.08,48,0,17.56
185,Pevek,RU,2021-07-21 13:01:48,69.7008,170.3133,39.88,64,10,3.2
186,Elat,IL,2021-07-21 13:01:49,29.5581,34.9482,103.84,18,0,18.41
187,Souillac,MU,2021-07-21 13:01:09,-20.5167,57.5167,68.36,76,82,20.67
188,Geraldton,AU,2021-07-21 13:01:50,-28.7667,114.6,64.13,82,40,8.05
189,Moussoro,TD,2021-07-21 13:01:50,13.6408,16.4901,98.6,31,71,10.0
190,San Quintin,MX,2021-07-21 12:52:29,30.4833,-115.95,68.27,91,100,8.93
191,Grand Gaube,MU,2021-07-21 13:01:51,-20.0064,57.6608,68.38,86,94,5.99
192,Port Macquarie,AU,2021-07-21 13:00:18,-31.4333,152.9167,48.88,59,58,13.85
193,Mahur,IN,2021-07-21 13:01:51,25.1667,93.1167,74.7,95,100,1.43
194,Wau,SS,2021-07-21 13:01:52,7.7029,27.9953,80.89,60,100,7.99
195,Cotonou,BJ,2021-07-21 13:01:52,6.3654,2.4183,79.81,72,62,13.6
196,Hay River,CA,2021-07-21 13:01:53,60.8156,-115.7999,58.33,77,100,5.75
197,Antsirabe,MG,2021-07-21 13:01:54,-19.85,47.0333,66.34,47,0,7.23
198,Metro,ID,2021-07-21 13:01:54,-5.1131,105.3067,76.46,88,52,4.97
199,Penzance,GB,2021-07-21 13:01:55,50.1186,-5.5371,83.41,61,0,13.8
200,Husavik,IS,2021-07-21 13:01:55,66.0449,-17.3389,61.81,61,27,5.39
201,Butaritari,KI,2021-07-21 13:01:56,3.0707,172.7902,81.64,78,60,10.0
202,Kirakira,SB,2021-07-21 13:01:56,-10.4544,161.9205,77.95,87,77,7.02
203,Kamenka,RU,2021-07-21 13:01:57,51.3223,42.7678,90.14,37,95,5.61
204,Haljala,EE,2021-07-21 13:01:58,59.4336,26.2614,65.82,39,8,10.42
205,Roald,NO,2021-07-21 13:01:58,62.5833,6.1333,72.1,67,0,8.05
206,Caravelas,BR,2021-07-21 13:01:59,-17.7125,-39.2481,74.66,60,100,8.79
207,Broome,US,2021-07-21 13:02:00,42.2506,-75.833,67.01,90,90,1.99
208,Magdalena,PH,2021-07-21 13:02:00,14.1999,121.429,80.24,95,100,8.28
209,Vanimo,PG,2021-07-21 13:02:00,-2.6741,141.3028,78.46,87,44,2.82
210,Hofn,IS,2021-07-21 13:02:01,64.2539,-15.2082,59.02,72,0,13.8
211,Kathmandu,NP,2021-07-21 13:00:03,27.7167,85.3167,73.62,94,75,4.61
212,Batagay,RU,2021-07-21 13:02:02,67.6333,134.6333,58.98,65,97,5.57
213,Balakovo,RU,2021-07-21 13:02:02,52.0278,47.8007,86.61,50,15,7.25
214,Zadar,HR,2021-07-21 13:02:03,44.1197,15.2422,88.41,30,20,10.36
215,Hami,CN,2021-07-21 13:02:03,42.8,93.45,91.8,19,95,2.75
216,Dhidhdhoo,MV,2021-07-21 13:00:34,6.8833,73.1,83.3,78,100,16.49
217,Novobirilyussy,RU,2021-07-21 13:02:04,56.9514,90.6661,68.16,67,56,3.42
218,Adwa,ET,2021-07-21 13:02:05,14.1646,38.8955,60.31,87,100,3.58
219,Santiago,CL,2021-07-21 12:58:28,-33.4569,-70.6483,64.29,47,0,4.61
220,Gasa,PS,2021-07-21 13:02:05,31.5,34.4667,91.9,53,0,14.09
221,Thiruvananthapuram,IN,2021-07-21 13:02:06,8.4833,76.9167,82.38,94,75,11.5
222,Lumeje,AO,2021-07-21 13:02:07,-11.55,20.7833,84.65,14,0,7.61
223,Saint John,CA,2021-07-21 13:02:07,45.2727,-66.0677,64.18,99,90,11.5
224,Krasnoselkup,RU,2021-07-21 12:52:10,65.7,82.4667,70.12,50,100,7.14
225,Mujiayingzi,CN,2021-07-21 13:02:08,42.1167,118.7833,74.32,69,100,9.19
226,Pokhara,NP,2021-07-21 13:02:08,28.2333,83.9833,75.52,87,100,1.59
